product_id,category_id,department_id,product_name,last_modified_date
PB98E88AF,MTO1,FS,Spicy Chicken Wrap (Large),2024-12-19 11:35:27.000000 UTC
P1FA325CF,MTO1,FS,BBQ Pulled Pork Sandwich (Regular),2024-12-19 11:35:27.000000 UTC
P02FF7323,MTO1,FS,California Veggie Burger (6-inch),2024-12-19 11:35:27.000000 UTC
PF96F75B2,MTO1,FS,Turkey Cranberry Panini (Hot),2024-12-19 11:35:27.000000 UTC
PA9DEBBC7,MTO1,FS,Shrimp Caesar Salad (Large),2024-12-19 11:35:27.000000 UTC
PC2BF8313,MTO1,FS,Chicken Bacon Ranch Wrap (Large),2024-12-19 11:35:29.000000 UTC
PA8768AEC,MTO1,FS,Buffalo Chicken Mac & Cheese (Regular),2024-12-19 11:35:29.000000 UTC
P88BCFC5D,MTO1,FS,Steak & Cheese Quesadilla (12-inch),2024-12-19 11:35:29.000000 UTC
P06979AD6,MTO1,FS,Mediterranean Veggie Salad (Regular),2024-12-19 11:35:29.000000 UTC
PC4FEBF6D,MTO1,FS,BBQ Pulled Pork Sandwich (6-inch),2024-12-19 11:35:29.000000 UTC
P8F6EEA5A,MTO1,FS,- California Chicken Wrap (6-inch),2024-12-19 11:35:32.000000 UTC
P2369BA1F,MTO1,FS,- Philly Cheesesteak (12-inch),2024-12-19 11:35:32.000000 UTC
P004AEC9B,MTO1,FS,- Turkey Bacon Ranch (6-inch),2024-12-19 11:35:32.000000 UTC
P9F4CCCB3,MTO1,FS,- BLT Salad (Regular),2024-12-19 11:35:32.000000 UTC
PF60C0C87,MTO1,FS,- Spicy Italian Sub (6-inch),2024-12-19 11:35:32.000000 UTC
P0F9F192B,MTO2,FS,Buffalo Chicken Mac & Cheese (Regular),2024-12-19 11:35:34.000000 UTC
P0C1D7F30,MTO2,FS,Grilled Chicken Caesar Salad (Large),2024-12-19 11:35:34.000000 UTC
PE8D1CB44,MTO2,FS,Steak & Cheese Stromboli (12-inch),2024-12-19 11:35:34.000000 UTC
P99556075,MTO2,FS,Chicken Bacon Ranch Wrap (6-inch),2024-12-19 11:35:34.000000 UTC
PF80C4412,MTO2,FS,BBQ Pulled Pork Sandwich (Regular),2024-12-19 11:35:34.000000 UTC
